Proveitos Globais | NUTS II;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;janeiro;;fevereiro;;março;;abril;;maio;;junho;;julho;;agosto;;setembro;;outubro;;novembro;;dezembro;;Acumulado;
;2017;2018;2017;2018;2017;2018;2017;2018;2017;2018;2017;2018;2017;2018;2017;2018;2017;2018;2017;2018;2017;2018;2017;2018;2017;2018
Apartamentos Turísticos;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;;…;;…;;…;…;…;…
Outros;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;;_;;_;;_;_;_;_
Madeira;22 586 633;24 555 754;23 680 153;25 409 699;31 146 852;32 690 948;34 553 430;35 693 652;36 342 423;36 741 745;38 565 832;38 527 451;43 385 246;41 338 443;47 315 820;46 940 920;40 914 356;;35 724 560;;26 152 812;;25 169 750;;405 537 867;281 898 612
Hotéis;15 248 582;16 882 478;15 858 152;17 227 327;20 957 614;22 047 342;23 683 827;24 543 845;24 985 258;26 150 189;27 504 281;27 850 192;31 663 595;30 471 032;34 546 943;34 363 779;29 373 047;;25 136 399;;18 108 169;;17 495 093;;284 560 960;199 536 184
5*;6 983 327;7 695 187;7 214 685;7 997 895;8 663 423;9 573 133;9 832 587;10 660 156;10 026 651;11 609 100;12 490 150;12 976 924;14 529 363;14 135 410;16 404 166;16 404 752;13 596 421;;11 440 943;;8 162 161;;8 107 302;;127 451 179;91 052 557
4*;7 425 504;8 193 825;7 754 898;8 263 871;11 121 143;11 156 478;12 495 768;12 333 291;13 439 509;12 870 439;13 517 867;13 309 292;15 370 222;14 588 181;16 143 772;16 035 474;14 127 761;;12 174 143;;8 911 061;;8 379 354;;140 861 002;96 750 851
3*;685 142;784 713;707 688;730 416;943 084;993 319;1 067 126;1 148 078;1 218 352;1 276 208;1 171 736;1 253 654;1 324 100;1 395 616;1 504 209;1 603 788;1 237 492;;1 146 368;;770 050;;753 948;;12 529 295;9 185 792
2* e 1*;154 609;208 753;180 881;235 145;229 964;324 412;288 346;402 320;300 746;394 442;324 528;310 322;439 910;351 825;494 796;319 765;411 373;;374 945;;264 897;;254 489;;3 719 484;2 546 984
Hotéis-Apartamentos;4 846 655;5 302 597;5 119 497;5 573 499;6 594 015;7 254 785;7 066 585;7 871 085;7 461 404;7 202 743;7 191 387;7 654 328;7 515 708;7 402 807;8 117 381;8 309 702;7 385 962;;7 317 375;;5 514 608;;5 412 071;;79 542 648;56 571 546
Pousadas;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;;…;;…;;…;…;…;…
Aldeamentos Turísticos;220 965;184 752;227 081;223 958;213 031;221 044;206 175;164 934;162 127;141 415;196 820;137 064;267 393;217 645;264 030;250 364;190 746;;176 491;;125 284;;94 517;;2 344 660;1 541 176
Apartamentos Turísticos;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;;…;;…;;…;…;…;…
